word,meaning,ref
"cot, cot, codek",,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A126e
cot-cot,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A127e
cot-cot-codêêêt,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A130e
coua,,dictionnaire des onomatoees
couac,,dictionnaire des onomatoees
couach,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A132e
couan couan,,dictionnaire des onomatoees
coucou,,dictionnaire des onomatoees
coucouer,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A136e
coucouler,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A137e
coucourou,,dictionnaire des onomatoees
coucouter,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A138e
couéan-couéan,,dictionnaire des onomatoees
couen couen couen,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A139e
couen-couen,,dictionnaire des onomatoees
coui coui,,dictionnaire des onomatoees
couic,,dictionnaire des onomatoees
couik,,dictionnaire des onomatoees
couin-cou,,dictionnaire des onomatoees
couin-couin,,dictionnaire des onomatoees
couiner,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A144e
couique,,dictionnaire des onomatoees
couraquet,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A145e
coureli,,dictionnaire des onomatoees
courli,,dictionnaire des onomatoees
courlis,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A146e
couroucou,,dictionnaire des onomatoees
cra cra,,dictionnaire des onomatoees
craaac,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A149e
craaak,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A150e
crac,,dictionnaire des onomatoees
crac boum hue,,dictionnaire des onomatoees
crac crac,,dictionnaire des onomatoees
cracher,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A161e
cracq,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A162e
cran,,dictionnaire des onomatoees
craquer,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A164e
crash,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A167e
crc cr,,dictionnaire des onomatoees
crécelle,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A168e
cree,,dictionnaire des onomatoees
crételer,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A169e
cri cri,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A170e
cric,,dictionnaire des onomatoees
cric crac,,dictionnaire des onomatoees
cric-crac,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A176e
cricri,,dictionnaire des onomatoees
cri-cri,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A178e
cricrite,,dictionnaire des onomatoees
crii,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A179e
criiii,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A184e
crin crin,,dictionnaire des onomatoees
crincrin,,dictionnaire des onomatoees
criquet,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A185e
criss-criss,,dictionnaire des onomatoees
croa,,dictionnaire des onomatoees
croâ,,https://fr.wiktionary.org/wiki/Cat%C3%A9gorie:Mots_en_fran%C3%A7ais_issus_d%E2%80%99une_onomatop%C3%A194e
