Entry,Word class,Etymology,Definition
flip,v.,Probably onomatopoeic.,"To put into motion with a flip or fillip, to ‘shoot’; to toss (a coin) with a flip."
flipper-de-flapper,n.,Echoic.,Noise and confusion caused by show.
flirt,v.,Onomatopoeic.,"To propel or throw with a jerk or sudden movement; often, to propel by a blow from the finger-nail released from the thumb."
flish,v.,Apparently imitative of the sound of a blade waved through the air.,To slash or cut.
flisk,v.,Onomatopoeia expressive of a sudden movement through the air.,To move or dance about in a frolicsome way; to frisk.
flitch,n.,Onomatopoeic.,A flick or stroke.
flizz,v.,Onomatopoeic.,To fly off.
flobber,v.,Apparently onomatopoeic.,"To dirty, soil."
flod,v.,? Onomatopoeic.,To walk slowly.
flog,v.,Presumably of onomatopoeic formation.,"To beat, whip; to chastise with repeated blows of a rod or whip."
flouse/floush,v.,? Onomatopoeic.,To splash.
flummer,v.,Apparently onomatopoeic.,"To repeat indistinctly, mumble."
flump,v.,Onomatopoeic.,To fall or move heavily with a dull noise.
flunge,v.,? Onomatopoeic.,? To fly or be flung out with sudden impetus.
flurr,v.,? Onomatopoeic.,"To scatter, throw about."
flurry,n.,? Onomatopoeic.,"A sudden agitation of the air, a gust or squall."
flush,v.,"Perhaps onomatopoeic; with initial fl- suggested by fly, flutter, etc.",To fly up quickly and suddenly; to start up and fly away.
fnarr-fnarr,"int., adj.",Imitative of smothered or half-suppressed laughter.,Representing lecherous or half-suppressed laughter. Frequently used to indicate sexual innuendo.
frab,v.,Onomatopoeic.,"To harass, worry."
frap,n.,Echoic.,A noise made by knocking.
fratch,v.,Onomatopoeic.,To make a harsh or strident noise; to creak.
fribble,v.,Onomatopoeic; probably influenced in sense by association with frivol (n.).,"To falter, stammer (out)."
fridge,v.,Apparently onomatopoeic.,To move restlessly (about or up and down); to fidget.
frill,v.,Probably echoic.,Of the eagle: to scream.
fruz,n.,"Onomatopoeic; compare frizz (n.), fuzz (n.).","A collection of short and small branches, producing a frizzy appearance."
fub(b)/fub(b)s,n.,"Onomatopoeic: suggested by full, chub, etc.",A small chubby person. Chiefly used as a term of endearment.
fubble,v.,Onomatopoeic: compare fumble.,To jumble (up).
fuff,v.,Echoic.,"To puff. Said of a breeze, fire, etc.; also, of a person in anger or out of breath."
fuffle,v.,Onomatopoeic.,"To throw into disorder; to jerk about; to hustle, treat with contumely."
fum,v.,Echoic.,To play (on a guitar) with the fingers.
funk,v.,Apparently onomatopoeic; a variant fung is common.,To kick.
fuss,n.,"Perhaps echoic of the sound of something sputtering or bubbling, or expressive of the action of ‘puffing and blowing’.",A bustle or commotion out of proportion to the occasion; a needless or excessive display of concern about anything; ostentatious or officious activity.
fustle,n.,Onomatopoeic.,"Fussle, a slight confusion."
fute,v.,? Echoic.,To whistle.
fuzz,n.,Perhaps imitative of the action of blowing away light particles.,"Loose volatile matter; a mass of fine, light, fluffy particles."
fuzz,v.,"Echoic; compare buzz, fizz.",To buzz.
gab,v.,Apparently onomatopoeic; compare gabble.,"To talk much or glibly; to chatter, prate."
gabber,v.,Onomatopoeic.,"To talk volubly, to jabber."
gabble,v.,Onomatopoeic; compare gabber.,"To talk volubly, inarticulately and incoherently; to chatter, jabber, prattle."
gag,n.,"May be of onomatopoeic origin (compare gaggle, n.) with the original sense of ‘unmeaning chatter’.","A ‘made-up’ story; a piece of deception, an imposture, a lie."
gag,v.,Apparently imitative of the sound made in choking.,"To strangle, suffocate."
gag,v.,? Onomatopoeic; compare jag (v.).,"To jerk; to strike with a sharp blow. Also, to toss up (the head)."
gaggle,v.,Probably an onomatopoeic formation (with frequentative suffix) on the syllable gag (gag-gag) often used to imitate the cry of the goose.,Of geese: to cackle.
gah,int.,Echoic.,An exclamation indicating impatience or exasperation.
gallop,v.,Probably onomatopoeic; compare wallop (v.).,To boil.
gamp,v.,Probably of imitative or expressive origin.,To devour or eat greedily; to gulp down.
garre,v.,"Echoic, but suggested by Latin garrīre.","To growl, snarl; to chatter, chide; to chirp, twitter."
gawf,n.,Onomatopoeic.,A loud noisy laugh.
gawl,v.,? Echoic.,To bawl out.
geremumble,v.,Probably onomatopoeic.,? To garbage (fish).
gibber,v.,Onomatopoeic.,"To speak rapidly and inarticulately; to chatter, talk nonsense. Said also of an ape."
gig,n.,Perhaps onomatopoeic; the identity of the word in all senses is very doubtful.,Something that whirls.
gig,v.,Perhaps onomatopoeic.,? To move to and fro.
giggle,v.,Echoic.,"To laugh continuously in a manner not uproarious, but suggestive either of foolish levity or uncontrollable amusement."
ging,n.,Probably imitative of the sound made by the elastic band when firing.,A hand-held catapult.
ging,v.,Imitative.,"To jingle, to tinkle."
glash,v.,? Onomatopoeic.,To come like a flash of light.
globbe,v.,Apparently imitative.,"To swallow (drink or food) quickly or in large mouthfuls, to gulp; to drink or eat gluttonously."
gloffer,n.,Echoic.,A gluttonous eater.
glop,v.,Echoic.,To swallow greedily.
glotter,v.,? Echoic.,To chatter.
glub,n.,Echoic.,An inarticulate sound rendered by this spelling.
gluck,n.,Echoic.,An inarticulate sound supposed to be expressed by this spelling.
gluck,v.,Echoic.,To make a sound rendered by ‘gluck’.
glug,n.,Echoic.,Aword formed to imitate an inarticulate sound.
glug,v.,Echoic.,To make the sound rendered by ‘glug’.
glut-glut,v.,Echoic.,To swallow or gulp down.
glutter,n.,Echoic.,Splutter.
gnacche,v.,Probably an onomatopoeia suggested by gnaw.,"To strike (the teeth) together, as in rage or anguish."
gnap,v.,Onomatopoeic.,To bite in a snapping fashion.
gnar,v.,Onomatopoeic.,"To snarl, growl."
gnip,v.,? Onomatopoeic.,"To nip, bite. Of a horse: To champ (the bit)."
go-away,n.,"Imitative of the bird’s alarm call, with remodelling after the imperative of to go away.","In full go-away bird. Any of three African turacos of the genus Corythaixoides, which have distinctive loud alarm calls; esp. the all-grey C. concolor of southern Africa (also called grey loerie)."
gobble/goggle,v.,Imitative of the gurgling sound made by a turkey.,Of a male turkey: to make its characteristic gurgling sound in the throat.
gobble,"int., n.",Imitative of the gurgling sound made by a turkey.,Representing the characteristic gurgling sound made by a male turkey in its throat.
